Year,Semester,Link
2011,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1116/seating_availability.html?subject=ANES
2011,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1118/seating_availability.html?subject=ANES
2012,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1124/seating_availability.html?subject=ANES
2012,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1126/seating_availability.html?subject=ANES
2012,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1128/seating_availability.html?subject=ANES
2013,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1134/seating_availability.html?subject=ANES
2013,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1136/seating_availability.html?subject=ANES
2013,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1138/seating_availability.html?subject=ANES
2014,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1144/seating_availability.html?subject=ANES
2014,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1146/seating_availability.html?subject=ANES
2014,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1148/seating_availability.html?subject=ANES
2015,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1154/seating_availability.html?subject=ANES
2015,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1156/seating_availability.html?subject=ANES
2015,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1158/seating_availability.html?subject=ANES
2016,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1164/seating_availability.html?subject=ANES
2016,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1166/seating_availability.html?subject=ANES
2016,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1168/seating_availability.html?subject=ANES
2017,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1174/seating_availability.html?subject=ANES
2017,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1176/seating_availability.html?subject=ANES
2017,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1178/seating_availability.html?subject=ANES
2018,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1184/seating_availability.html?subject=ANES
2018,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1186/seating_availability.html?subject=ANES
2018,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1188/seating_availability.html?subject=ANES
2019,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1194/seating_availability.html?subject=ANES
2019,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1196/seating_availability.html?subject=ANES
2019,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1198/seating_availability.html?subject=ANES
2020,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1204/seating_availability.html?subject=ANES
2020,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1206/seating_availability.html?subject=ANES
2020,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1208/seating_availability.html?subject=ANES
2021,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1214/seating_availability.html?subject=ANES
2021,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1216/seating_availability.html?subject=ANES
